City,CO,PM10,SO2,PM2.5,O3,NO2
Framingham,320.44,7.61,3.34,5.98,41.13,27.76
Waco,186.92,2.67,0.29,1.75,76.53,2.27
Fort Worth,226.97,5.54,2.44,4.54,113.01,6.34
Bellingham,250.34,13.75,3.07,12.91,97.28,10.11
Maple Grove,297.07,4.52,0.6,4.25,46.49,11.65
Spokane,165.22,2.43,0.15,2.31,103.0,1.61
Torrance,257.02,15.72,3.99,8.91,97.28,16.62
Scottsdale,230.31,9.29,0.74,3.03,70.81,3.64
San Diego,193.6,16.99,1.7,8.17,80.82,6.77
Centreville,253.68,12.06,1.04,6.71,85.12,7.11
Ellicott City,233.65,14.17,3.07,6.08,91.55,12.0
Providence,297.07,7.98,0.75,6.65,49.35,12.17
Phoenix,220.3,11.39,1.04,3.91,75.82,4.67
Independence,250.34,3.51,1.94,2.87,79.39,9.25
McKinney,250.34,5.4,0.81,4.28,92.98,10.45
Cranston,413.9,20.2,2.27,18.58,45.42,19.71
Peoria,210.29,8.92,4.95,5.96,90.84,6.86
Fontana,317.1,54.77,11.92,46.61,303.27,12.34
Nashua,240.33,3.41,1.03,2.72,42.56,10.11
Rapid City,193.6,0.73,0.2,0.7,35.76,2.29
Indianapolis,270.37,19.41,3.55,14.78,117.3,15.59
Fall River,307.08,11.08,1.57,9.73,43.99,10.11
Yuba City,216.96,18.0,0.52,12.02,157.36,1.67
Tuscaloosa,196.93,11.06,2.38,5.73,55.08,2.91
Pearland,211.95,5.83,1.85,2.95,53.64,7.54
Palatine,297.07,20.57,2.74,18.04,120.16,18.51
San Angelo,191.93,0.73,0.05,0.5,49.35,0.48
Boise,173.57,7.39,0.05,3.82,118.73,1.52
Murfreesboro,247.0,10.87,0.12,7.08,51.5,7.71
Napa,674.25,54.68,1.1,51.56,140.19,2.74
Bk,453.95,26.24,9.78,12.25,23.6,69.23
Jacksonville,236.99,2.34,2.59,1.88,35.76,6.68
Olathe,216.96,2.92,0.33,2.32,75.82,2.25
Redlands,263.69,26.92,4.47,22.78,208.86,9.51
Franklin,257.02,10.39,0.47,6.29,60.8,8.48
Norwalk,353.81,34.17,2.89,32.16,103.0,9.94
Nampa,190.26,7.46,0.08,3.86,110.15,4.07
Hialeah,250.34,3.81,2.03,1.85,35.41,11.65
San Clemente,148.54,1.18,0.04,1.05,47.21,1.22
Wichita,211.95,2.49,0.42,2.24,91.55,2.44
Redwood City,175.24,14.52,1.39,8.52,84.4,3.21
Gilbert,240.33,7.62,0.56,2.55,59.37,4.54
Cheektowaga,313.76,10.01,1.31,9.54,90.84,12.51
Santa Clara,240.33,14.99,3.04,9.99,103.0,13.71
Plano,250.34,5.4,0.81,4.28,92.98,10.45
Davis,527.38,45.1,2.41,40.28,191.69,4.5
Merced,330.45,26.65,1.09,22.53,173.09,3.64
Oshkosh,211.95,5.05,1.42,4.63,72.96,5.27
Salem,170.23,6.86,0.29,4.53,85.12,1.04
Arden-Arcade,534.06,44.32,4.53,40.04,228.88,8.31
Pasadena,370.5,50.74,13.71,39.53,228.88,36.33
Livonia,373.84,22.6,4.35,20.03,101.57,24.33
Lowell,240.33,3.54,1.04,2.68,38.27,12.34
Madison,233.65,8.28,1.12,6.64,91.55,5.66
Glen Burnie,210.29,13.76,1.94,5.54,87.26,7.37
Hesperia,205.28,20.83,2.44,13.78,185.97,2.96
Ogden,163.56,14.53,0.6,6.0,105.86,6.34
Clifton,337.12,29.85,4.95,23.72,125.89,16.79
Plymouth,166.89,3.2,0.51,1.53,61.51,1.13
Hemet,205.28,17.03,1.42,11.57,163.08,2.51
Whittier,360.49,23.16,10.97,14.18,113.01,38.73
Toms River,183.58,16.81,0.87,6.2,89.41,3.0
Charlotte,250.34,11.42,1.36,4.96,91.55,13.54
Dale City,280.38,13.87,1.03,7.15,64.37,11.31
Casas Adobes,240.33,1.12,0.33,0.5,44.7,1.89
Fort Collins,216.96,4.08,0.26,2.64,51.5,5.83
Moreno Valley,277.04,38.58,10.37,29.43,294.69,10.63
Yorba Linda,327.11,30.58,15.74,20.1,171.66,32.56
Hayward,257.02,17.17,4.53,11.43,83.69,18.68
San Mateo,175.24,14.52,1.39,8.52,84.4,3.21
Woodbury,307.08,4.35,1.09,4.13,24.32,14.57
Conroe,203.61,3.74,0.27,3.15,77.96,3.0
Dearborn,447.27,23.66,5.54,21.45,89.41,38.04
Ann Arbor,250.34,11.02,0.41,10.27,97.28,3.98
Cincinnati,250.34,15.1,3.13,12.35,105.86,10.71
